STD_YM,STD_YMD,HDONG_CD,HDONG_NM,TMST_00,TMST_01,TMST_02,TMST_03,TMST_04,TMST_05,TMST_06,TMST_07,TMST_08,TMST_09,TMST_10,TMST_11,TMST_12,TMST_13,TMST_14,TMST_15,TMST_16,TMST_17,TMST_18,TMST_19,TMST_20,TMST_21,TMST_22,TMST_23
201806,20180601,1111051500,청운효자동,687.72,528.97,387.42,288.04,414.96,766.41,1835.34,4772.84,4822.37,4062.94,3625.22,3850.86,2987.63,2995.08,3147.34,3042.05,3170.77,3438.51,4146.31,3271.23,2221.07,2162.67,2072.77,1436.94
201806,20180601,1111053000,사직동,2379.78,1619.38,1137.59,918.98,1310.55,2991.82,7623.59,21529.26,31280.11,17347.81,12322.85,14153.27,11998.45,11982.95,11515.24,12532.23,11546.04,14924.72,19293.39,11398.85,8319.02,7311.54,6452.65,4476.42
201806,20180601,1111054000,삼청동,235.49,156.05,100.42,83.92,163.93,412.95,1245.1,3486.83,4180.59,2393.36,2022.76,2561.85,2023.26,2222.21,1939.73,2055,1975.86,2353.34,2828.97,2044.82,1168.34,1216.4,816.85,571.71
201806,20180601,1111055000,부암동,1331.16,785.12,596.75,810.83,598.96,1524.06,2848.94,5422.06,5962.13,4899.2,4785.45,4465.43,4116.29,3921.98,5174.78,4907.92,5617.24,6373.57,7006.34,6602.06,3863.86,3892.88,3996.91,2757.42
201806,20180601,1111056000,평창동,3133.99,2234.62,1659.52,2699.06,1666.59,3104.7,5837.81,8548.89,8505.66,8373.09,8262.46,8530.94,8076.8,7810.71,9674.54,8838.47,9996.3,10920.73,10403.94,9775.87,7412.2,6750.61,7356.89,5623.24
201806,20180601,1111057000,무악동,405.7,258.27,118.75,121.42,178.27,344.77,816.76,1663.35,2231.72,1487.93,1280.44,1120.79,984.42,1124.53,1084.41,1105.97,1428.92,1628.64,1931.58,1664.67,1491.6,1359.31,1372.66,941.19
201806,20180601,1111058000,교남동,558.09,347.42,302.5,204.42,449.58,736.42,1586.84,3980.34,4368.67,2982.63,2415.1,2304.99,2157.1,2245.15,2284.71,2325.21,2313.68,2644.48,3085.3,2385.63,1963.27,1748.56,1726.93,1128.26
201806,20180601,1111060000,가회동,227.64,173.9,130.15,81.29,181.73,410.53,1379.71,4837.62,3350.18,2387.5,2056.34,2142.14,2193.96,1853,1793.73,1949.13,1779.55,1856.7,1974,1393.33,830.61,844.65,690.38,514.36
201806,20180601,1111061500,종로1.2.3.4가동,4492.67,3062.87,2433.39,1801.91,3312.97,7384.29,19733.79,54388.53,85517.66,53007.97,39340.24,47451.51,45023.53,42195.04,36999.46,37592.5,38569.86,44548.6,60932.55,39519.6,23879.87,21709.25,19443.96,13005.08
201806,20180601,1111063000,종로5.6가동,1608.34,959.09,809.55,606.55,1021.11,2215.62,4989.4,11866.1,17367.09,12348.3,10568.36,11252.58,10863.52,11246.17,11399.99,11795.52,11403.77,11354.23,14350.38,9625.5,6563.55,5795.76,4725.39,4282.28
201806,20180601,1111064000,이화동,977.49,555.9,360.84,340.13,583.57,1271.19,3150.35,7887.94,10836.42,8067.65,5581.38,4700.4,5303.56,5578.88,5259.65,5285.12,5596.34,5635.48,9014.34,7618.58,4004.58,3502.13,3158.33,2928.67
201806,20180601,1111065000,혜화동,1658.55,911.05,705.34,454.2,1212.61,1902.08,3997.63,8601.88,10740.6,8395.17,6021.94,5846.83,5549.98,5839.7,5592.59,6062,7109.61,7268.93,10811.79,8561.94,5334.58,4570.83,4747.9,3663.72
201806,20180601,1111067000,창신1동,1051.54,619.38,515.37,383.77,526.05,1297.81,2522.3,5232.35,6665.1,4824.55,3740.41,3390.93,3451.11,3395.51,3747.38,4166.27,4138.69,4140.99,5694.15,4615.88,3345.16,2939.4,2401.42,2412.87
201806,20180601,1111068000,창신2동,249.68,147.61,112.19,96.09,122.07,373.56,718.58,1557.6,2153.99,1375.38,1000.13,900.67,935.76,920.94,1117.17,1335.51,1280.77,1233.73,1893.56,1468.42,999.76,958.08,697.06,582.65
201806,20180601,1111069000,창신3동,230.18,101.5,84.91,76.08,101.25,141.91,348.2,1250.84,1501.25,587.34,642.24,404.41,531.69,549.88,509.67,722.66,613.45,860.78,1227.74,934.03,840.89,678.85,471.07,613.58
201806,20180601,1111070000,숭인1동,448.67,213.45,210.2,165.42,230.93,592.46,1142.06,2744.74,3320.12,2057.47,1613.42,1379.92,1621.31,1484.16,1603.89,1826.72,1827.22,2142.3,2888.46,2230.55,1776.95,1461.2,1346.87,1158.93
