Date,pm10,pm25,COUNT_T
20180401,60.626,31.447,234.0
20180402,59.04,24.603,371.0
20180403,53.88,16.03,251.0
20180404,11.56,6.501,352.0
20180405,5.785,4.037,293.0
20180406,60.36,13.137,627.0
20180407,32.776,15.479,207.0
20180408,18.678,9.744,199.0
20180409,35.997,24.697,407.0
20180410,36.781,17.679,278.0
20180411,52.094,20.249,357.0
20180412,32.613,11.665,236.0
20180413,23.954,10.217,223.0
20180414,17.463,9.585,95.0
20180416,24.457,15.199,318.0
20180417,49.282,26.806,350.0
20180418,55.055,28.857,436.0
20180419,70.44,36.174,361.0
20180420,96.797,53.769,361.0
20180421,60.942,36.424,159.0
20180422,34.329,19.962,198.0
20180423,9.033,4.919,179.0
20180424,9.681,4.126,259.0
20180425,26.358,21.023,298.0
20180426,36.214,26.586,258.0
20180427,49.758,36.826,165.0
20180428,59.148,40.725,159.0
20180429,58.393,36.401,196.0
20180430,91.147,66.836,358.0
20180501,76.813,60.032,257.0
20180502,59.03,46.976,226.0
20180503,25.001,12.209,210.0
20180504,37.888,15.398,171.0
20180505,35.822,19.135,70.0
20180506,13.96,8.606,38.0
20180507,32.713,20.163,101.0
20180508,15.235,7.04,265.0
20180509,22.101,9.156,209.0
20180510,42.276,23.75,244.0
20180511,73.826,48.708,192.0
20180512,34.935,21.672,56.0
20180513,24.504,17.131,130.0
20180514,101.065,76.45,313.0
20180515,74.971,61.094,273.0
20180516,33.737,26.619,228.0
20180517,14.782,9.929,185.0
20180518,9.683,3.302,107.0
20180519,13.304,7.211,91.0
20180520,9.836,6.46,104.0
20180521,19.29,11.653,148.0
20180522,36.44,25.043,94.0
20180523,40.528,13.637,318.0
20180524,70.362,17.566,377.0
20180525,71.65,27.328,235.0
20180526,67.581,31.884,119.0
20180527,61.278,26.812,116.0
20180528,40.628,21.393,177.0
20180530,48.217,29.238,269.0
20180531,38.659,23.648,204.0
20180602,31.033,19.567,68.0
20180603,22.482,15.898,70.0
20180604,26.362,19.325,120.0
20180605,32.015,23.585,139.0
20180606,36.499,28.696,68.0
20180607,45.436,35.195,180.0
20180608,32.105,23.288,117.0
20180609,34.811,24.685,52.0
20180610,8.655,5.56,77.0
20180611,10.727,4.891,113.0
20180612,14.718,9.467,111.0
20180613,23.442,17.752,57.0
20180614,28.939,23.001,89.0
20180615,16.462,10.092,118.0
20180616,23.24,14.315,62.0
20180617,52.774,34.765,105.0
20180618,31.448,23.599,104.0
20180619,28.498,21.543,92.0
20180620,32.287,26.542,81.0
20180621,32.532,24.779,103.0
20180622,38.196,26.924,60.0
20180623,32.618,22.58,64.0
20180624,65.432,43.49,132.0
20180625,45.926,30.544,116.0
20180626,45.293,33.35,116.0
20180627,28.661,22.144,76.0
20180628,22.794,17.328,146.0
20180629,36.359,24.856,38.0
20180630,58.035,43.468,9.0
20180701,10.71,7.305,26.0
20180702,17.506,9.067,86.0
20180703,11.503,8.353,53.0
20180704,18.015,11.304,63.0
20180705,17.32,13.59,53.0
20180706,5.576,2.726,180.0
20180707,8.661,4.828,36.0
20180708,18.259,8.44,56.0
20180709,8.011,4.931,59.0
20180710,18.231,9.41,62.0
20180711,28.476,17.218,78.0
20180712,27.703,16.49,92.0
20180713,22.624,14.577,27.0
20180714,17.8,13.725,21.0
20180715,20.668,15.359,51.0
20180716,18.194,13.426,30.0
20180717,19.888,15.176,80.0
20180718,24.071,20.019,114.0
20180719,19.67,15.275,83.0
20180720,27.208,21.538,69.0
20180721,24.397,18.759,80.0
20180722,18.796,13.732,26.0
20180723,26.188,18.344,50.0
20180724,29.503,22.691,53.0
20180725,28.567,22.066,56.0
20180726,33.908,25.24,93.0
20180727,31.015,23.374,51.0
20180728,24.114,19.683,17.0
20180729,15.272,11.606,20.0
20180730,9.923,5.741,51.0
20180731,16.704,8.481,72.0
20181010,28.163,13.415,76.0
20181011,28.795,15.606,97.0
20181012,30.466,18.505,73.0
20181013,32.796,24.593,15.0
20181014,32.526,24.598,70.0
20181015,68.24,47.459,454.0
20181016,54.435,37.228,400.0
20181017,32.956,22.398,243.0
