Date,pm10,pm25,COUNT_T
20180401,45.384,22.086,234.0
20180402,50.623,19.911,371.0
20180403,45.457,12.749,251.0
20180404,9.892,4.588,352.0
20180405,6.476,3.688,293.0
20180406,60.754,13.654,627.0
20180407,29.704,13.472,207.0
20180408,21.151,10.162,199.0
20180409,43.544,25.007,407.0
20180410,28.591,14.384,278.0
20180411,47.107,19.432,357.0
20180412,28.318,9.551,236.0
20180413,19.136,7.567,223.0
20180414,13.431,6.944,95.0
20180416,21.117,11.868,318.0
20180417,41.335,19.46,350.0
20180418,51.505,21.841,436.0
20180419,58.966,26.794,361.0
20180420,76.037,38.841,361.0
20180421,49.121,27.068,159.0
20180422,25.744,12.855,198.0
20180423,5.949,3.693,179.0
20180424,8.871,5.229,259.0
20180425,22.063,16.584,298.0
20180426,28.518,19.245,258.0
20180427,37.979,26.617,165.0
20180428,48.93,32.922,159.0
20180429,45.79,28.41,196.0
20180430,67.94,49.948,358.0
20180501,60.99,47.244,257.0
20180502,36.789,28.839,226.0
20180503,19.992,10.252,210.0
20180504,38.319,15.859,171.0
20180505,35.439,18.026,70.0
20180506,12.283,7.662,38.0
20180507,31.833,17.791,101.0
20180508,14.672,5.627,265.0
20180509,17.637,6.494,209.0
20180510,39.859,21.676,244.0
20180511,69.446,45.718,192.0
20180512,33.085,21.727,56.0
20180513,18.436,13.612,130.0
20180514,80.161,62.377,313.0
20180515,73.474,56.255,273.0
20180516,39.161,28.824,228.0
20180517,18.275,12.5,185.0
20180518,10.415,5.103,107.0
20180519,9.864,4.636,91.0
20180520,9.51,5.769,104.0
20180521,15.68,10.086,148.0
20180522,40.175,27.77,94.0
20180523,45.461,14.777,318.0
20180524,83.281,20.636,377.0
20180525,79.831,29.245,235.0
20180526,75.034,33.969,119.0
20180527,69.443,31.4,116.0
20180528,46.133,22.865,177.0
20180530,43.471,24.759,269.0
20180531,39.726,23.294,204.0
20180602,39.426,24.311,68.0
20180603,27.537,18.601,70.0
20180604,28.858,19.602,120.0
20180605,25.635,18.776,139.0
20180606,33.331,25.345,68.0
20180607,54.541,42.923,180.0
20180608,25.957,18.976,117.0
20180609,38.617,27.253,52.0
20180610,5.205,3.052,77.0
20180611,8.862,3.916,113.0
20180612,15.459,5.754,111.0
20180613,21.575,15.418,57.0
20180614,26.711,19.649,89.0
20180615,13.768,8.298,118.0
20180616,17.278,10.022,62.0
20180617,41.871,27.62,105.0
20180618,30.18,22.061,104.0
20180619,31.965,23.719,92.0
20180620,31.136,24.214,81.0
20180621,30.364,21.943,103.0
20180622,49.768,34.351,60.0
20180623,22.463,14.321,64.0
20180624,83.451,52.123,132.0
20180625,38.473,23.481,116.0
20180626,46.647,32.15,116.0
20180627,20.752,13.241,76.0
20180628,30.53,19.747,146.0
20180629,48.522,22.811,38.0
20181008,52.927,17.808,31.0
20181009,60.385,26.431,89.0
20181010,35.688,20.944,76.0
20181011,21.042,9.404,97.0
20181012,22.221,11.204,73.0
20181013,29.201,17.181,15.0
20181014,29.944,18.998,70.0
20181015,82.156,49.747,454.0
20181016,80.388,47.242,400.0
20181017,33.412,17.46,243.0
20181018,17.667,10.406,123.0
20181019,19.881,9.089,85.0
20181020,28.742,14.423,71.0
20181021,26.938,15.477,120.0
20181022,63.879,37.81,201.0
20181023,55.703,32.839,275.0
20181024,35.928,14.573,231.0
20181025,33.669,16.158,115.0
20181026,29.454,16.118,79.0
20181027,21.458,4.819,30.0
20181028,16.217,9.109,71.0
20181029,17.564,8.652,85.0
20181030,20.468,10.179,154.0
20181031,20.583,10.662,62.0
20181101,28.937,16.159,108.0
20181102,32.537,18.33,90.0
20181103,41.398,26.272,96.0
20181104,36.072,24.053,229.0
20181105,50.726,31.938,390.0
20181106,185.275,128.497,613.0
20181107,72.108,52.626,588.0
20181108,12.001,5.008,435.0
20181109,41.568,23.76,372.0
20181110,95.633,60.224,247.0
20181111,92.37,57.108,351.0
20181112,29.663,15.175,371.0
20181113,34.84,20.908,458.0
20181114,29.517,18.083,341.0
20181115,43.036,28.869,283.0
20181116,50.978,35.567,379.0
20181117,30.144,18.193,120.0
20181118,33.606,21.78,173.0
20181119,43.483,24.894,311.0
20181120,39.562,17.228,288.0
20181121,28.259,12.844,174.0
20181122,22.751,10.798,26.0
20181123,28.085,13.947,106.0
20181124,18.473,11.858,73.0
20181125,35.347,25.13,230.0
20181126,53.349,33.647,442.0
20181127,124.862,59.7,500.0
