Date,pm10,pm25,COUNT_T
20180401,55.538,25.509,234.0
20180402,57.301,22.026,371.0
20180403,60.487,17.595,251.0
20180404,19.036,8.795,352.0
20180405,11.941,7.111,293.0
20180406,86.201,20.225,627.0
20180407,40.808,19.056,207.0
20180408,27.922,13.967,199.0
20180409,37.478,24.247,407.0
20180410,43.108,22.033,278.0
20180411,62.031,24.599,357.0
20180412,45.295,16.326,236.0
20180413,34.842,14.997,223.0
20180414,28.033,15.053,95.0
20180416,36.166,21.796,318.0
20180417,57.784,29.64,350.0
20180418,66.999,32.274,436.0
20180419,80.844,36.609,361.0
20180420,125.081,62.556,361.0
20180421,85.744,45.53,159.0
20180422,47.133,24.49,198.0
20180423,16.413,9.334,179.0
20180424,12.228,6.469,259.0
20180425,36.244,26.151,298.0
20180426,51.783,34.307,258.0
20180427,64.594,43.774,165.0
20180428,72.483,45.484,159.0
20180429,67.772,38.56,196.0
20180430,107.189,70.994,358.0
20180501,98.508,66.026,257.0
20180502,73.266,51.702,226.0
20180503,29.019,14.707,210.0
20180504,43.719,17.288,171.0
20180505,39.656,18.164,70.0
20180506,16.688,9.674,38.0
20180507,35.812,18.354,101.0
20180508,17.027,7.138,265.0
20180509,24.318,8.55,209.0
20180510,42.206,21.376,244.0
20180511,71.457,40.583,192.0
20180512,32.181,19.0,56.0
20180513,26.722,16.712,130.0
20180514,90.165,55.935,313.0
20180515,76.349,53.764,273.0
20180516,32.372,21.681,228.0
20180517,19.16,11.476,185.0
20180518,15.123,5.8,107.0
20180519,13.769,6.522,91.0
20180520,12.531,6.699,104.0
20180521,19.767,10.328,148.0
20180522,34.326,20.537,94.0
20180523,34.273,8.367,318.0
20180524,57.725,12.496,377.0
20180525,64.185,24.049,235.0
20180526,55.16,25.55,119.0
20180527,50.974,22.386,116.0
20180528,37.675,18.826,177.0
20180530,34.931,20.317,269.0
20180531,33.482,18.453,204.0
20180602,28.94,16.622,68.0
20180603,22.663,14.753,70.0
20180604,27.809,18.124,120.0
20180605,27.697,18.228,139.0
20180606,31.249,21.192,68.0
20180607,36.398,22.983,180.0
20180608,27.158,17.144,117.0
20180609,33.477,19.717,52.0
20180610,9.902,5.116,77.0
20180611,12.015,4.574,113.0
20180612,18.639,10.244,111.0
20180613,29.226,17.644,57.0
20180614,29.749,18.656,89.0
20180615,20.401,11.29,118.0
20180616,26.035,13.144,62.0
20180617,51.131,31.145,105.0
20180618,38.22,24.565,104.0
20180619,37.626,24.451,92.0
20180620,40.16,26.612,81.0
20180621,40.615,26.456,103.0
20180622,49.286,29.46,60.0
20180623,40.926,23.192,64.0
20180624,59.881,34.913,132.0
20180625,54.556,30.38,116.0
20180626,54.074,33.474,116.0
20180627,35.837,22.28,76.0
20180628,32.794,21.364,146.0
20180629,46.131,32.327,38.0
20180630,66.614,44.701,9.0
20180701,19.84,13.783,26.0
20180702,17.285,11.155,86.0
20180703,19.667,13.342,53.0
20180704,31.546,21.321,63.0
20180705,25.406,20.309,53.0
20180706,11.589,6.038,180.0
20180707,14.187,8.971,36.0
20180708,21.504,14.251,56.0
20180709,15.441,10.924,59.0
20180710,28.047,18.877,62.0
20180711,43.026,28.874,78.0
20180712,38.154,22.728,92.0
20180713,28.495,19.87,27.0
20180714,27.881,20.372,21.0
20180715,27.538,21.267,51.0
20180716,28.853,22.661,30.0
20180717,30.606,25.321,80.0
20180718,32.488,26.858,114.0
20180719,33.394,24.808,83.0
20180720,46.269,35.218,69.0
20180721,47.812,36.58,80.0
20180722,37.924,28.325,26.0
20180723,41.533,30.111,50.0
20180724,46.391,36.975,53.0
20180725,41.667,30.576,56.0
20180726,48.783,34.121,93.0
20180727,54.883,37.801,51.0
20180728,38.44,24.555,17.0
20180729,25.728,17.707,20.0
20180730,17.546,10.142,51.0
20180731,27.029,16.119,72.0
20180801,38.683,22.176,22.0
20180802,42.399,27.786,33.0
20180803,53.258,39.133,84.0
20180804,36.523,24.406,20.0
20180805,36.856,21.928,23.0
20180806,38.44,23.778,57.0
20180807,26.64,16.929,122.0
20180808,34.45,21.402,49.0
20180809,30.562,20.913,59.0
20180810,23.506,14.695,16.0
20180811,18.886,9.886,16.0
20180812,25.642,16.395,14.0
20180813,42.21,28.562,27.0
20180814,40.004,24.979,14.0
20180815,41.146,27.963,10.0
20180816,28.984,15.726,36.0
20180817,30.615,12.526,20.0
20180818,34.069,14.267,13.0
20180819,37.404,21.637,14.0
20180820,46.346,28.87,36.0
20180821,37.097,19.406,75.0
20180822,36.761,21.523,37.0
