Date,pm10,pm25,COUNT_T
20180401,74.559,38.94,234.0
20180402,78.317,32.551,371.0
20180403,77.29,25.604,251.0
20180404,16.316,10.441,352.0
20180405,9.168,2.892,293.0
20180406,77.504,27.266,627.0
20180407,37.729,17.917,207.0
20180408,24.709,12.324,199.0
20180409,33.27,22.846,407.0
20180410,49.904,20.394,278.0
20180411,71.762,30.617,357.0
20180412,42.102,14.055,236.0
20180413,29.498,12.725,223.0
20180414,27.29,14.579,95.0
20180416,31.499,19.641,318.0
20180417,61.292,29.887,350.0
20180418,78.685,33.722,436.0
20180419,87.733,39.667,361.0
20180420,100.771,52.551,361.0
20180421,69.251,38.534,159.0
20180422,47.985,29.74,198.0
20180423,14.09,9.802,179.0
20180424,13.856,6.799,259.0
20180425,31.402,22.785,298.0
20180426,50.112,36.612,258.0
20180427,57.763,40.113,165.0
20180428,65.878,44.705,159.0
20180429,68.12,42.235,196.0
20180430,91.667,70.463,358.0
20180501,90.976,75.173,257.0
20180502,60.807,48.422,226.0
20180503,31.174,11.78,210.0
20180504,60.468,17.708,171.0
20180505,63.077,26.811,70.0
20180506,29.169,13.522,38.0
20180507,48.361,21.247,101.0
20180508,22.671,7.154,265.0
20180509,29.789,9.255,209.0
20180510,59.276,27.661,244.0
20180511,100.106,64.956,192.0
20180512,41.45,25.879,56.0
20180513,35.306,21.855,130.0
20180514,94.986,66.926,313.0
20180515,80.563,54.901,273.0
20180516,44.876,29.213,228.0
20180517,28.077,11.697,185.0
20180518,15.53,5.081,107.0
20180519,15.009,3.681,91.0
20180520,12.48,3.81,104.0
20180521,23.485,9.462,148.0
20180522,53.857,32.969,94.0
20180523,53.551,13.489,318.0
20180524,94.757,24.172,377.0
20180525,88.724,35.035,235.0
20180526,79.229,37.965,119.0
20180527,76.579,33.92,116.0
20180528,55.514,27.181,177.0
20180530,52.011,32.537,269.0
20180531,46.448,24.528,204.0
20180602,41.144,20.885,68.0
20180603,29.234,15.813,70.0
20180604,36.708,20.667,120.0
20180605,39.437,23.569,139.0
20180606,42.415,26.438,68.0
20180607,51.395,33.744,180.0
20180608,35.358,20.983,117.0
20180609,37.496,22.948,52.0
20180610,10.453,3.98,77.0
20180611,12.707,3.376,113.0
20180612,23.354,10.245,111.0
20180613,36.59,21.581,57.0
20180614,38.835,25.178,89.0
20180615,22.194,8.951,118.0
20180616,31.971,14.757,62.0
20180617,53.971,33.874,105.0
20180618,44.824,28.681,104.0
20190327,201.0,138.0,353.0
