Date,pm10,pm25,COUNT_T
20180401,66.507,31.817,234.0
20180402,65.076,25.328,371.0
20180403,70.553,23.895,251.0
20180404,19.015,10.608,352.0
20180405,9.228,5.585,293.0
20180406,78.976,20.193,627.0
20180407,45.644,18.337,207.0
20180408,29.5,14.14,199.0
20180409,43.847,27.958,407.0
20180410,49.609,21.318,278.0
20180411,74.617,30.747,357.0
20180412,48.8,16.346,236.0
20180413,36.535,12.985,223.0
20180414,30.283,15.308,95.0
20180416,36.836,21.985,318.0
20180417,55.996,30.742,350.0
20180418,65.97,31.578,436.0
20180419,74.986,36.16,361.0
20180420,100.427,53.065,361.0
20180421,82.195,44.277,159.0
20180422,47.431,26.447,198.0
20180423,19.064,12.97,179.0
20180424,10.74,5.002,259.0
20180425,31.676,21.918,298.0
20180426,53.84,36.95,258.0
20180427,64.983,46.478,165.0
20180428,70.312,45.477,159.0
20180429,69.551,40.73,196.0
20180430,111.37,80.49,358.0
20180501,98.988,76.481,257.0
20180502,67.024,54.61,226.0
20180503,37.448,19.334,210.0
20180504,60.399,21.964,171.0
20180505,54.83,25.833,70.0
20180506,21.653,11.965,38.0
20180507,43.811,23.272,101.0
20180508,28.1,10.497,265.0
20180509,32.17,11.511,209.0
20180510,62.84,37.78,244.0
20180511,103.424,73.166,192.0
20180512,42.48,26.962,56.0
20180513,39.296,30.45,130.0
20180514,124.622,100.821,313.0
20180515,80.778,58.857,273.0
20180516,46.151,32.51,228.0
20180517,21.797,12.825,185.0
20180518,16.542,9.76,107.0
20180519,18.752,9.349,91.0
20180520,15.836,8.525,104.0
20180521,28.799,15.421,148.0
20180522,49.208,33.368,94.0
20180523,49.883,13.84,318.0
20180524,107.987,29.596,377.0
20180525,98.197,39.528,235.0
20180526,93.399,45.867,119.0
20180527,79.008,34.888,116.0
20180528,62.361,33.517,177.0
20180530,64.868,46.88,269.0
20180531,59.378,36.646,204.0
20180602,49.178,29.369,68.0
20180603,36.994,24.174,70.0
20180604,44.785,29.564,120.0
20180605,48.563,34.869,139.0
20180606,57.364,41.163,68.0
20180607,74.803,57.208,180.0
20180608,54.044,36.866,117.0
20180609,50.402,35.964,52.0
20180610,14.906,9.592,77.0
20180611,16.872,8.802,113.0
20180612,25.683,17.333,111.0
20180613,40.289,27.953,57.0
20180614,44.646,32.659,89.0
20180615,25.328,16.982,118.0
20180616,33.808,19.496,62.0
20180617,74.233,50.895,105.0
20180618,55.581,38.006,104.0
20180619,45.696,33.639,92.0
20180620,58.178,43.572,81.0
20180621,55.107,39.094,103.0
20180622,57.544,40.71,60.0
20180623,49.31,31.247,64.0
20180624,71.456,52.416,132.0
20180625,63.658,43.662,116.0
20180626,56.379,42.269,116.0
20180627,45.622,34.367,76.0
20180628,36.753,26.444,146.0
20180629,54.242,44.876,38.0
20180630,65.047,50.931,9.0
20180701,16.374,10.822,26.0
20180702,14.924,7.252,86.0
20180703,17.858,12.29,53.0
20180704,28.13,14.874,63.0
20180705,27.102,18.517,53.0
20180706,8.335,3.184,180.0
20180707,14.574,7.361,36.0
20180708,23.825,16.479,56.0
20180709,14.08,6.367,59.0
20180710,21.928,9.177,62.0
20180711,33.882,16.797,78.0
20180712,31.546,14.143,92.0
20180713,25.445,9.45,27.0
20180714,24.29,11.285,21.0
20180715,23.738,13.395,51.0
20180716,24.899,13.582,30.0
20180717,26.736,17.094,80.0
20180718,33.513,23.734,114.0
20180719,26.478,16.521,83.0
20180720,36.062,22.168,69.0
20180721,35.106,22.822,80.0
20180722,26.249,17.16,26.0
20180723,34.886,19.674,50.0
20180724,40.48,27.012,53.0
20180725,31.84,22.401,56.0
20180726,38.55,29.122,93.0
20180727,40.827,28.697,51.0
20180728,30.757,20.872,17.0
20180729,18.213,12.618,20.0
20180730,12.156,5.575,51.0
20180731,21.047,11.077,72.0
20180801,31.28,16.625,22.0
20180802,37.755,22.394,33.0
20180803,39.674,26.413,84.0
20180804,27.904,17.222,20.0
20180805,32.164,19.873,23.0
20180806,31.685,18.774,57.0
20180807,21.12,11.693,122.0
20180808,26.058,15.918,49.0
20180809,22.15,14.779,59.0
20180810,17.64,9.85,16.0
20180811,14.411,7.785,16.0
20180812,21.14,14.095,14.0
