Date,pm10,pm25,COUNT_T
20180401,59.647,28.375,234.0
20180402,60.838,23.851,371.0
20180403,63.483,18.385,251.0
20180404,18.512,8.911,352.0
20180405,13.56,8.042,293.0
20180406,79.955,20.081,627.0
20180407,39.708,18.228,207.0
20180408,31.745,14.751,199.0
20180409,39.686,25.112,407.0
20180410,49.831,24.128,278.0
20180411,64.535,23.051,357.0
20180412,44.382,15.786,236.0
20180413,37.116,17.116,223.0
20180414,28.86,15.11,95.0
20180416,30.582,18.137,318.0
20180417,48.352,25.598,350.0
20180418,50.823,31.433,436.0
20180503,33.789,23.502,210.0
20180504,45.954,19.422,171.0
20180505,44.36,20.329,70.0
20180506,21.858,13.738,38.0
20180507,36.901,19.848,101.0
20180508,23.017,10.52,265.0
20180509,25.238,9.456,209.0
20180510,41.584,22.465,244.0
20180511,72.874,47.351,192.0
20180512,40.398,26.153,56.0
20180513,29.663,20.991,130.0
20180514,91.747,71.444,313.0
20180515,71.253,51.608,273.0
20180516,41.397,27.91,228.0
20180517,27.699,18.164,185.0
20180518,21.169,7.168,107.0
20180519,16.812,7.853,91.0
20180520,15.006,7.732,104.0
20180521,24.458,12.715,148.0
20180522,45.261,25.865,94.0
20180523,48.655,13.625,318.0
20180524,83.924,20.569,377.0
20180525,80.278,29.52,235.0
20180526,75.121,31.132,119.0
20180527,64.965,26.387,116.0
20180528,48.519,23.099,177.0
20180530,51.797,30.924,269.0
20180531,42.247,23.814,204.0
20180602,36.34,20.144,68.0
20180603,30.464,18.882,70.0
20180604,36.731,22.799,120.0
20180605,39.693,25.821,139.0
20180606,40.992,27.378,68.0
20180607,51.867,33.808,180.0
20180608,38.544,24.177,117.0
20180609,48.376,29.352,52.0
20180610,15.852,8.656,77.0
20180611,19.569,8.412,113.0
20180612,24.809,13.474,111.0
20180613,36.441,23.332,57.0
20180614,45.313,29.242,89.0
20180615,28.614,14.578,118.0
20180616,35.474,16.206,62.0
20180617,59.376,36.356,105.0
20180618,51.667,33.722,104.0
20180619,43.939,28.962,92.0
20180620,51.774,37.849,81.0
20180621,50.55,31.926,103.0
20180622,57.846,36.258,60.0
20180623,51.607,30.94,64.0
20180624,82.401,47.862,132.0
20180625,67.716,38.399,116.0
20180626,61.14,39.649,116.0
20180627,44.182,29.306,76.0
20180628,45.843,29.735,146.0
