Date,search,pm10,pm25,COUNT_T,TMST,retail,Linearindex
20180401,0.10413,90.15100000000001,44.523999999999994,234.0,1388.7079999999999,1.183,-0.6294447
20180402,0.10413,90.824,35.992,371.0,1329.891,0.9129999999999999,-0.9802269
20180403,0.10413,81.93299999999999,23.237,251.0,1377.872,0.941,-0.7499473
20180404,0.10413,20.603,9.537,352.0,1389.243,0.927,-0.73924446
20180405,0.10413,9.851,5.182,293.0,1333.049,0.94,-0.909968
20180406,0.10413,85.45200000000001,20.415,627.0,1413.4070000000002,0.9670000000000001,-0.8960359
20180407,0.10413,36.476,16.785,207.0,1593.229,1.25,0.13479713
20180408,0.07476000000000001,23.119,11.171,199.0,1363.2720000000002,1.245,-0.65692395
20180409,0.07476000000000001,38.863,22.563000000000002,407.0,1341.775,0.9490000000000001,-0.8644693
20180410,0.07476000000000001,35.851,17.377,278.0,1417.392,0.89,-0.5040348
20180411,0.07476000000000001,63.913000000000004,26.241999999999997,357.0,1412.905,0.927,-0.58447206
20180412,0.07476000000000001,40.047,13.427,236.0,1409.912,1.003,-0.5236857
20180413,0.07476000000000001,30.464000000000002,12.383,223.0,1421.842,1.062,-0.4594357
20180414,0.07476000000000001,22.01,11.770999999999999,95.0,1466.7179999999998,1.3419999999999999,-0.19033396
20180416,0.10413,29.031999999999996,16.445,318.0,1347.8370000000002,1.015,-0.8578075
20180417,0.10413,56.943999999999996,26.355,350.0,1379.16,1.02,-0.7662016
20180418,0.10413,74.281,30.701,436.0,1412.84,1.001,-0.708969
20180419,0.10413,81.571,37.14,361.0,1405.945,1.025,-0.6688205
20180420,0.10413,100.34200000000001,51.394,361.0,1440.33,1.124,-0.5134611
20180421,0.10413,100.17299999999999,56.251999999999995,159.0,1623.225,1.4180000000000001,0.33582094
20180422,0.06141,35.844,18.41,198.0,1330.224,1.3,-0.7403517
20180423,0.06141,10.519,6.843,179.0,1286.3980000000001,0.9059999999999999,-0.89820457
20180424,0.06141,12.023,7.3420000000000005,259.0,1375.121,1.062,-0.6205696
20180425,0.06141,25.96,19.442999999999998,298.0,1415.069,1.1159999999999999,-0.4726215
20180426,0.06141,34.131,23.238000000000003,258.0,1417.589,1.0590000000000002,-0.43281287
20180427,0.06141,44.693999999999996,31.624000000000002,165.0,1438.721,0.986,-0.271964
20180428,0.06141,58.125,39.828,159.0,1569.372,1.128,0.23537144
20180429,0.0801,50.748999999999995,31.363000000000003,196.0,1448.092,1.087,-0.31301785
20180430,0.0801,75.04899999999999,55.131,358.0,1329.13,1.087,-0.82152694
20180501,0.0801,61.435,47.558,257.0,1417.3670000000002,1.115,-0.42658752
20180502,0.0801,45.769,36.241,226.0,1320.931,0.91,-0.7874401
20180503,0.0801,22.275,11.748,210.0,1468.41,0.983,-0.2780022
20180504,0.0801,38.571999999999996,16.204,171.0,1603.335,1.093,0.25034547
20180505,0.0801,38.147,19.465999999999998,70.0,1573.155,1.063,0.22049011
20180506,0.037380000000000004,14.243,8.958,38.0,1397.595,1.043,-0.32039943
20180507,0.037380000000000004,31.057,17.39,101.0,1506.705,0.972,0.053199768
20180508,0.037380000000000004,16.759,6.49,265.0,1499.86,1.13,-0.10765405
20180509,0.037380000000000004,21.355999999999998,7.955,209.0,1494.283,0.9279999999999999,-0.09058297
20180510,0.037380000000000004,36.982,20.17,244.0,1522.662,0.94,0.014542864
20180511,0.037380000000000004,67.331,44.288999999999994,192.0,1569.6429999999998,1.006,0.2738468
20180512,0.037380000000000004,29.961,19.705,56.0,1544.753,1.129,0.2384218
