DATE,COUNT
20180402,371
20180403,251
20180404,352
20180405,293
20180410,278
20180411,357
20180412,236
20180416,318
20180417,350
20180419,361
20180424,259
20180425,298
20180503,210
20180509,209
20180514,313
20180515,251
20180516,228
20180517,184
20180524,377
20180530,269
20180605,139
20181108,435
20181109,372
20181112,371
20181113,458
20181114,341
20181115,283
20181119,311
20181120,288
20181121,174
20181129,403
20181218,363
20181219,369
20181220,422
20181231,93
20190101,88
20190102,188
20190116,357
20190117,292
20190118,438
20190121,369
20190125,313
20190128,259
20190129,344
20190130,296
20190131,196
20190212,382
20190213,317
20190214,378
20190215,448
20190218,350
20190220,410
20190226,343
20190227,365
20190306,519
20190312,358
20190314,305
20190315,334
20190317,392
20190319,363
20190320,291
20190322,303
20190326,333
20190327,353
20190328,326
20190329,273
