DATE,COUNT
20180407,207
20180421,159
20180422,198
20180429,196
20180505,70
20180508,127
20180513,130
20180518,73
20180520,104
20180522,94
20180527,116
20180528,86
20180606,67
20180607,83
20180610,77
20180612,52
20180617,105
20180622,60
20180624,132
20180704,36
20180712,60
20180713,27
20180715,51
20180717,47
20180720,69
20180727,28
20180802,33
20180803,84
20180806,57
20180810,16
20180816,22
20180817,20
20180820,36
20180822,37
20180823,10
20180831,59
20180905,28
20180907,39
20180910,29
20180911,49
20180914,19
20180919,54
20180928,42
20181002,38
20181004,65
20181005,22
20181009,89
20181012,73
20181018,123
20181019,85
20181024,231
20181026,79
20181102,90
20181104,229
20181106,613
20181110,246
20181116,213
20181117,120
20181118,173
20181125,230
20181126,210
20181201,170
20181202,163
20181206,44
20181207,79
20181209,63
20181214,73
20181222,340
20181223,242
20181226,77
20181229,91
20181230,71
20190106,224
20190112,364
20190126,183
20190202,182
20190204,245
20190209,160
20190302,384
20190311,121
20190313,82
20190331,190
