DATE,COUNT
20180414,95
20180506,38
20180512,56
20180518,34
20180519,91
20180526,119
20180531,30
20180602,68
20180609,52
20180612,59
20180613,57
20180616,62
20180701,26
20180704,27
20180707,36
20180708,56
20180712,32
20180717,33
20180721,80
20180729,20
20180805,23
20180812,14
20180815,10
20180819,14
20180824,16
20180826,18
20180902,43
20180909,38
20180916,12
20180920,27
20180921,20
20181001,45
20181003,13
20181007,21
20181011,97
20181014,33
20181015,77
20181028,71
20181103,96
20181116,166
20181124,73
20181206,44
20181208,40
20181215,98
20181216,168
20190105,169
20190203,142
20190205,199
20190221,86
20190321,116
