Date,pm10,pm25,COUNT_T,TMST,retail
20180401,45.384,22.086,234.0,4207.005,1.078
20180402,50.623,19.911,371.0,4813.579,1.028
20180403,45.457,12.749,251.0,4899.743,0.968
20180404,9.892,4.588,352.0,4801.005,1.017
20180405,6.476,3.688,293.0,4516.46,0.941
20180406,60.754,13.654,627.0,4564.718,1.049
20180407,29.704,13.472,207.0,4923.668,1.14
20180408,21.151,10.162,199.0,3797.987,1.125
20180409,43.544,25.007,407.0,4548.671,0.994
20180410,28.591,14.384,278.0,4659.457,0.979
20180411,47.107,19.432,357.0,4674.475,1.049
20180412,28.318,9.551,236.0,4733.138,0.985
20180413,19.136,7.567,223.0,4787.967,1.07
20180414,13.431,6.944,95.0,4650.918,1.069
20180416,21.117,11.868,318.0,4633.05,1.022
20180417,41.335,19.46,350.0,4701.986,0.988
20180418,51.505,21.841,436.0,4573.972,1.009
20180419,58.966,26.794,361.0,4532.683,1.012
20180420,76.037,38.841,361.0,4687.669,1.165
20180421,49.121,27.068,159.0,5006.215,1.379
20180422,25.744,12.855,198.0,3717.927,1.286
20180423,5.949,3.693,179.0,4418.028,0.944
20180424,8.871,5.229,259.0,4465.044,1.022
20180425,22.063,16.584,298.0,4636.472,1.094
20180426,28.518,19.245,258.0,4640.056,1.067
20180427,37.979,26.617,165.0,4695.469,1.065
20180428,48.93,32.922,159.0,4983.7,1.206
20180429,45.79,28.41,196.0,4293.574,1.125
20180430,67.94,49.948,358.0,4633.34,1.223
20180501,60.99,47.244,257.0,4519.393,1.078
20180502,36.789,28.839,226.0,4526.76,1.004
20180503,19.992,10.252,210.0,4737.772,1.012
20180504,38.319,15.859,171.0,4927.993,1.149
20180505,35.439,18.026,70.0,4859.529,1.189
20180506,12.283,7.662,38.0,4326.022,1.072
20180507,31.833,17.791,101.0,4561.569,1.106
20180508,14.672,5.627,265.0,4765.005,1.092
20180509,17.637,6.494,209.0,4505.585,0.998
20180510,39.859,21.676,244.0,4509.167,1.071
20180511,69.446,45.718,192.0,4664.646,1.084
20180512,33.085,21.727,56.0,4423.283,1.056
20180513,18.436,13.612,130.0,3529.794,1.275
20180514,80.161,62.377,313.0,4178.814,1.055
20180515,73.474,56.255,273.0,4519.777,1.154
20180516,39.161,28.824,228.0,4377.781,1.021
20180517,18.275,12.5,185.0,4440.583,0.95
20180518,10.415,5.103,107.0,4613.718,1.059
20180519,9.864,4.636,91.0,4821.806,1.346
20180520,9.51,5.769,104.0,3999.247,1.183
20180521,15.68,10.086,148.0,4333.02,1.054
20180522,40.175,27.77,94.0,4192.795,1.006
20180523,45.461,14.777,318.0,4681.901,0.994
20180524,83.281,20.636,377.0,4747.111,1.066
20180525,79.831,29.245,235.0,4598.432,1.164
20180526,75.034,33.969,119.0,4834.35,1.296
20180527,69.443,31.4,116.0,3745.096,1.318
20180528,46.133,22.865,177.0,4507.382,1.129
20180530,43.471,24.759,269.0,4659.236,1.114
20180531,39.726,23.294,204.0,4759.64,1.144
20180602,39.426,24.311,68.0,4772.139,1.333
20180603,27.537,18.601,70.0,3910.847,1.296
20180604,28.858,19.602,120.0,4298.849,1.056
20180605,25.635,18.776,139.0,4368.941,1.238
20180606,33.331,25.345,68.0,3981.419,1.284
20180607,54.541,42.923,180.0,4416.9,1.127
20180608,25.957,18.976,117.0,4452.615,1.132
20180609,38.617,27.253,52.0,4603.635,1.284
20180610,5.205,3.052,77.0,3443.68,1.303
20180611,8.862,3.916,113.0,4267.445,1.067
20180612,15.459,5.754,111.0,4329.179,1.162
20180613,21.575,15.418,57.0,3893.447,1.273
20180614,26.711,19.649,89.0,4357.03,0.986
20180615,13.768,8.298,118.0,4398.346,1.16
20180616,17.278,10.022,62.0,4157.69,1.282
20180617,41.871,27.62,105.0,3825.22,1.2
20180618,30.18,22.061,104.0,4106.534,1.128
20180619,31.965,23.719,92.0,4232.075,1.022
20180620,31.136,24.214,81.0,4252.668,1.073
20180621,30.364,21.943,103.0,4431.408,1.084
20180622,49.768,34.351,60.0,4517.949,1.237
20180623,22.463,14.321,64.0,4755.329,1.362
20180624,83.451,52.123,132.0,3401.185,1.33
20180625,38.473,23.481,116.0,4229.804,1.138
20180626,46.647,32.15,116.0,4021.089,0.92
20180627,20.752,13.241,76.0,4294.302,1.224
20180628,30.53,19.747,146.0,4318.804,1.049
20180629,48.522,22.811,38.0,4639.65,1.214
20181008,52.927,17.808,31.0,4490.958,1.157
20181009,60.385,26.431,89.0,3933.13,1.071
20181010,35.688,20.944,76.0,4441.64,1.033
20181011,21.042,9.404,97.0,4437.228,0.948
20181012,22.221,11.204,73.0,4684.729,1.106
20181013,29.201,17.181,15.0,4491.809,1.211
20181014,29.944,18.998,70.0,3337.303,1.287
20181015,82.156,49.747,454.0,4203.362,1.039
20181016,80.388,47.242,400.0,4432.53,1.045
20181017,33.412,17.46,243.0,4636.779,1.047
20181018,17.667,10.406,123.0,4590.866,0.976
20181019,19.881,9.089,85.0,4608.21,1.077
20181020,28.742,14.423,71.0,5095.415,1.15
20181021,26.938,15.477,120.0,3902.876,1.073
20181022,63.879,37.81,201.0,4549.2,1.087
20181023,55.703,32.839,275.0,4486.526,1.395
20181024,35.928,14.573,231.0,4698.974,1.07
20181025,33.669,16.158,115.0,3915.772,0.982
20181026,29.454,16.118,79.0,4754.186,1.02
20181027,21.458,4.819,30.0,5237.495,1.131
20181028,16.217,9.109,71.0,3551.638,1.096
20181029,17.564,8.652,85.0,4247.652,0.97
20181030,20.468,10.179,154.0,4705.58,0.951
20181031,20.583,10.662,62.0,4678.325,1.004
20181101,28.937,16.159,108.0,4721.35,0.956
20181102,32.537,18.33,90.0,4398.634,1.061
20181103,41.398,26.272,96.0,4925.446,1.165
20181104,36.072,24.053,229.0,4107.871,1.036
20181105,50.726,31.938,390.0,5022.177,1.011
20181106,185.275,128.497,613.0,4582.063,0.974
20181107,72.108,52.626,588.0,4750.457,1.065
20181108,12.001,5.008,435.0,4437.66,0.883
20181109,41.568,23.76,372.0,4776.242,1.195
20181110,95.633,60.224,247.0,4914.573,1.418
20181111,92.37,57.108,351.0,3724.212,1.617
20181112,29.663,15.175,371.0,4595.758,1.071
20181113,34.84,20.908,458.0,4616.592,0.973
20181114,29.517,18.083,341.0,4556.482,0.98
20181115,43.036,28.869,283.0,4500.912,0.955
20181116,50.978,35.567,379.0,4573.574,1.048
20181117,30.144,18.193,120.0,5016.395,1.057
20181118,33.606,21.78,173.0,4171.21,1.029
20181119,43.483,24.894,311.0,4634.311,0.948
20181120,39.562,17.228,288.0,4299.354,0.957
20181121,28.259,12.844,174.0,4157.455,0.952
20181122,22.751,10.798,26.0,4096.882,0.951
20181123,28.085,13.947,106.0,4702.492,1.003
20181124,18.473,11.858,73.0,4058.945,1.094
20181125,35.347,25.13,230.0,3436.894,1.187
20181126,53.349,33.647,442.0,4167.814,1.003
20181127,124.862,59.7,500.0,4322.234,0.897
20181128,163.641,23.175,520.0,4447.951,0.954
20181129,57.659,14.019,403.0,4530.81,0.967
20181130,45.013,13.817,366.0,4767.267,1.018
20181201,32.284,15.262,170.0,5057.835,1.048
20181202,31.483,15.635,163.0,4060.451,1.066
20181203,25.785,12.062,245.0,4287.498,0.913
20181204,30.198,16.006,206.0,4541.043,0.937
20181205,27.733,10.905,187.0,4427.243,0.872
20181206,31.142,15.26,88.0,4479.138,0.974
20181207,19.238,7.476,79.0,4598.101,0.968
20181208,20.784,8.391,40.0,4644.175,0.955
20181209,23.128,10.52,63.0,3373.284,1.064
20181210,27.84,14.191,122.0,4241.183,0.92
20181211,30.678,17.172,166.0,4024.337,0.905
20181212,35.033,17.545,224.0,4020.13,0.939
20181213,30.763,18.436,123.0,3967.173,0.917
20181214,32.994,17.021,73.0,4147.213,0.952
20181215,53.861,34.329,98.0,4340.161,1.117
20181216,43.206,28.759,216.0,3445.948,0.936
20181217,73.658,46.452,482.0,3997.38,0.942
20181218,51.915,29.635,363.0,3429.22,0.858
20181219,49.663,30.249,369.0,2997.198,0.922
20181220,64.726,43.301,422.0,3042.143,0.891
20181221,70.452,45.655,395.0,3292.93,0.926
20181222,103.099,72.949,340.0,3079.205,1.038
20181223,58.882,36.852,242.0,2219.475,1.134
20181224,27.581,16.48,166.0,2964.049,0.886
20181225,33.758,21.669,155.0,2414.466,0.854
20181226,46.956,26.976,210.0,2712.499,0.843
20181227,29.302,11.643,112.0,1898.597,0.892
20181228,33.575,13.542,135.0,426.13,0.912
20181229,32.924,11.092,91.0,352.909,0.968
20181230,36.931,20.208,71.0,486.69,0.947
20181231,60.487,40.199,93.0,584.168,1.018
20190101,43.751,30.319,88.0,3619.633,0.871
20190102,40.21,28.461,188.0,4233.491,0.833
20190103,52.524,34.346,240.0,4472.588,0.853
20190104,61.653,44.82,373.0,4487.191,0.907
20190105,110.85,80.616,267.0,4619.675,0.931
20190106,55.769,27.754,224.0,3758.109,0.826
20190107,60.56,40.988,436.0,4120.036,0.941
20190108,37.666,19.728,264.0,4455.83,0.839
20190110,63.49,38.343,308.0,3270.11,0.924
20190111,75.978,52.888,295.0,4520.26,0.931
20190112,136.858,103.108,364.0,4799.917,1.01
20190113,195.44,142.873,617.0,2342.111,1.08
20190114,393.237,300.794,617.0,3378.586,0.912
20190115,235.337,160.566,502.0,4401.68,0.874
20190116,49.296,17.832,357.0,4502.589,0.832
20190117,38.568,21.872,292.0,4524.708,0.884
20190118,48.436,29.797,439.0,4652.355,0.921
20190119,65.879,46.071,420.0,4684.664,0.962
20190120,55.786,30.046,384.0,3967.447,0.84
20190121,47.219,24.794,369.0,3990.678,0.806
20190122,65.027,32.939,417.0,4436.618,0.891
20190125,49.983,27.522,313.0,4327.82,0.95
20190126,42.571,23.078,183.0,4895.32,0.949
20190127,44.465,26.314,218.0,3692.158,1.053
20190128,67.236,25.779,259.0,4603.258,0.9
20190129,61.94,21.181,344.0,4563.502,0.873
20190130,64.256,35.669,297.0,4579.985,0.92
20190131,67.588,25.79,196.0,4489.312,0.976
20190201,45.751,20.935,261.0,4706.908,0.989
20190202,62.697,40.353,182.0,4464.103,0.999
20190203,47.211,34.371,142.0,3628.425,0.968
20190204,77.71,42.802,245.0,3651.147,1.067
20190205,72.888,27.402,199.0,5867.504,1.371
20190206,84.283,32.137,329.0,3538.886,0.895
20190209,39.969,21.748,160.0,4421.772,0.9
20190210,45.572,26.692,201.0,3256.101,1.014
20190211,46.415,29.81,335.0,4450.013,1.026
20190212,57.109,39.808,382.0,4483.215,0.966
20190213,42.495,24.341,317.0,4572.915,1.072
20190214,48.355,25.592,378.0,4422.392,1.361
20190215,39.693,27.226,448.0,4491.812,0.942
20190217,40.703,29.333,240.0,3999.875,0.918
20190218,34.969,21.976,350.0,4574.375,0.864
20190219,49.996,38.019,331.0,3989.265,0.854
20190220,61.793,51.72,410.0,4552.499,0.944
20190221,95.201,77.899,468.0,4537.135,0.929
20190224,60.106,46.049,437.0,3826.185,1.093
20190225,107.321,83.792,395.0,4376.321,0.962
20190226,58.249,30.301,343.0,4631.376,0.937
20190227,60.828,38.343,365.0,4729.992,0.918
20190228,117.378,82.513,402.0,4534.531,0.994
20190301,156.641,112.187,533.0,4490.3,0.951
20190302,154.883,113.336,384.0,4527.753,0.921
20190303,132.846,96.86,523.0,4025.658,0.964
20190304,197.895,142.346,483.0,4689.628,0.946
20190305,275.901,194.864,548.0,4735.993,0.917
20190306,186.951,130.951,519.0,4715.602,0.939
20190307,54.003,41.232,485.0,4791.84,0.933
20190311,66.054,40.166,364.0,4757.888,0.938
20190312,82.844,52.779,358.0,4880.83,1.065
20190313,38.935,12.833,307.0,4855.962,1.157
20190314,38.325,19.08,305.0,5539.453,1.448
20190315,46.827,28.475,334.0,5274.216,1.065
20190316,42.482,29.688,262.0,5803.938,0.979
20190317,34.935,21.997,392.0,4889.915,0.97
20190319,60.085,38.236,363.0,5129.566,0.892
20190320,86.806,61.714,291.0,4976.779,0.93
20190321,35.459,27.588,375.0,4724.728,0.884
20190322,32.723,21.74,304.0,5015.514,0.937
20190323,24.699,16.72,216.0,5648.827,1.017
20190324,25.094,14.573,1.0,4074.824,1.039
20190326,64.357,40.109,333.0,5054.951,0.925
20190327,81.666,53.017,353.0,4916.301,0.899
20190328,81.944,51.306,326.0,5132.003,0.856
20190329,38.161,19.894,277.0,5144.875,1.035
20190330,38.958,28.224,208.0,5726.512,0.907
